movie_id,rank,title,originalTitle,description,year,votes,rating,runtimeminutes,ratingCategory,genre1,genre2,genre3
tt6781982,356,Night School,Night School,A group of high school dropouts is forced to attend night school in hopes that they will pass the GED exam to finish high school.,2018,43495,5.6,111,PG-13,Comedy,,
tt6259380,357,Code 8,Code 8,A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.,2019,43362,6.1,98,Not Rated,Action,Crime,Drama
tt7985648,358,The Legend of Tomiris,The Legend of Tomiris,"This is the story of the life of the great queen of of the steppe - legendary Tomiris. She is destined to become a skillful warrior, survive the loss of close people and unite the Scythian/Saka tribes under her authority.",2019,42923,6.2,156,TV-14,Action,Drama,History
tt7533152,359,The Boy Who Harnessed the Wind,The Boy Who Harnessed the Wind,"Against all the odds, a thirteen-year-old boy in Malawi invents an unconventional way to save his family and village from famine.",2019,42728,7.6,113,TV-PG,Biography,Drama,History
tt8206668,360,Bad Education,Bad Education,"The beloved superintendent of New York's Roslyn school district and his staff, friends and relatives become the prime suspects in the unfolding of the single largest public school embezzlement scandal in American history.",2019,42725,7.1,108,TV-MA,Biography,Comedy,Crime
tt7212754,361,Ludo,Ludo,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",2020,42526,7.6,150,TV-MA,Action,Comedy,Crime
tt2395469,362,Gully Boy,Gully Boy,A coming-of-age story based on the lives of street rappers in Mumbai.,2019,42525,7.9,154,Not Rated,Drama,Music,Romance
tt8201170,363,The Perfect Date,The Perfect Date,"To save up for college, Brooks Rattigan creates an app where anyone can pay him to play the perfect stand-in boyfriend for any occasion.",2019,42229,5.8,89,TV-14,Comedy,Romance,
tt6182908,364,Smallfoot,Smallfoot,"High up on a mountain peak surrounded by clouds, a secret Yeti society lives in peace and harmony. One day, a Yeti witnesses an airplane crash; Inside lies ""Smallfoot"", a legendary creature that will rock the society to its core.",2018,42134,6.6,96,PG,Adventure,Animation,Comedy
tt9683478,365,The Half of It,The Half of It,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",2020,42109,6.9,104,PG-13,Comedy,Drama,
tt5797184,366,Escape from Pretoria,Escape from Pretoria,"Based on the real-life prison break of two political captives, Escape From Pretoria is a race-against-time thriller set in the tumultuous apartheid days of South Africa.",2020,41898,6.8,106,PG-13,Biography,Crime,Mystery
tt6324278,367,Abominable,Abominable,Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.,2019,41526,7.0,97,PG,Adventure,Animation,Comedy
tt5001754,368,Braven,Braven,A logger defends his family from a group of dangerous drug runners.,2018,41455,5.9,94,R,Action,Thriller,
tt4537896,369,White Boy Rick,White Boy Rick,"The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison.",2018,41413,6.5,111,R,Crime,Drama,
tt7008872,370,Boy Erased,Boy Erased,The son of a Baptist preacher unwillingly participates in a church-supported gay conversion program after being forcibly outed to his parents.,2018,41396,6.9,115,R,Biography,Drama,
tt4154916,371,Replicas,Replicas,A scientist becomes obsessed with bringing back his family members who died in a traffic accident.,2018,41236,5.4,107,PG-13,Action,Drama,Sci-Fi
tt1053017,372,The Call,Episode #1.7,"Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably.",2020,41074,7.1,112,TV-MA,Music,Talk-Show,
tt1833116,373,The Informer,The Informer,An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,2019,40856,6.6,113,R,Action,Crime,Drama
